id,order_id,product_id,product_name,unit_value,unit_type,mrp,sale_price,quantity,gst_slab,discount_amount,discount_percentage,total_amount
19,10,1189,"Nandini Good Life",1,l,62.00,60.00,1,12.00,2.00,3,60.00
20,10,1192,"Amul Whipping cream",250,ml,69.00,68.00,1,12.00,1.00,1,68.00
21,10,1195,"Sofit soya milk (Chocolate)",200,ml,35.00,34.00,1,12.00,1.00,3,34.00
22,10,1354,"Parle Rusk Real Elachi",200,gms,32.00,30.00,1,18.00,2.00,6,30.00
23,10,1190,"Harsheys Milk Shake ( Cookies & cream Flavour)",200,ml,35.00,33.00,1,12.00,2.00,6,33.00
24,10,1144,"Red Label Natural Care",100,gms,60.00,57.00,1,5.00,3.00,5,57.00
25,10,1147,"TATA Chakri Gold",500,gms,320.00,299.00,1,5.00,21.00,7,299.00
26,11,59,"Bajaj Almond Hair Oil",50,ml,35.00,34.00,1,18.00,1.00,3,34.00
27,11,59,"Bajaj Almond Hair Oil",500,ml,280.00,270.00,1,18.00,10.00,4,270.00
28,11,61,"Dabur Amla Hair Oil",180,ml,88.00,83.00,1,18.00,5.00,6,83.00
29,14,1186,"Amulya Dairy Whitner",500,gms,212.00,200.00,1,12.00,12.00,6,200.00
30,14,1189,"Nandini Good Life",1,l,62.00,60.00,1,12.00,2.00,3,60.00
31,14,1192,"Amul Whipping cream",250,ml,69.00,68.00,1,12.00,1.00,1,68.00
32,15,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,1,5.00,2.00,3,62.00
33,15,701,"Surf excel easy wash",500,gms,62.00,60.00,1,18.00,2.00,3,60.00
34,15,1140,"3 ROSES Natural Care",250,gms,180.00,175.00,1,5.00,5.00,3,175.00
35,15,1186,"Amulya Dairy Whitner",500,gms,212.00,200.00,1,12.00,12.00,6,200.00
36,16,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,1,5.00,2.00,3,62.00
37,16,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",5,kg,310.00,280.00,2,5.00,30.00,10,560.00
38,16,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",10,kg,570.00,542.00,1,5.00,28.00,5,542.00
39,17,431,"Baby soap with baby lotion & Vitamin E",50,gms,35.00,33.00,1,18.00,2.00,6,33.00
40,17,432,"Baby soap Blossoms",75,gms,55.00,52.00,1,18.00,3.00,5,52.00
41,17,436,"Baby Cream extra soft & Gentle",200,ml,250.00,237.00,1,18.00,13.00,5,237.00
42,17,435,"Baby Soap refreshing Watermelon",75,gms,48.00,46.00,1,18.00,2.00,4,46.00
43,17,439,"Baby soap mysore sandal",75,gms,40.00,38.00,1,18.00,2.00,5,38.00
44,17,466,"Happy skin pants 2 - pcs","Large( 9 - 14 kg)",pc,28.00,26.00,1,12.00,2.00,7,26.00
45,17,466,"Happy skin pants 2 - pcs","Medium ( 7 -13 kg)",pc,24.00,22.00,2,12.00,2.00,8,44.00
46,18,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,1,5.00,2.00,3,62.00
47,18,1731,"AASHIRWAAD SUPERIOR MP ATTA ",2,kg,109.00,100.00,1,5.00,9.00,8,100.00
48,18,1732,"AASHIRWAAD SELECT SHARBATI  ATTA ",5,kg,300.00,270.00,1,5.00,30.00,10,270.00
49,18,1735,"SRILALITHA CHAKKI ATTA",1,kg,45.00,40.00,1,0.00,5.00,11,40.00
50,18,1739,"ASWIKA BESAN FLOUR",1,kg,100.00,80.00,1,0.00,20.00,20,80.00
51,18,701,"Surf excel easy wash",500,gms,62.00,60.00,1,18.00,2.00,3,60.00
52,18,702,"Surf excel matic front load",500,gms,125.00,118.00,1,18.00,7.00,6,118.00
53,18,703,"Surf excel matic Top Load",1,kg,215.00,209.00,1,18.00,6.00,3,209.00
54,18,59,"Bajaj Almond Hair Oil",100,ml,65.00,62.00,1,18.00,3.00,5,62.00
55,18,60,"Bajaj Brahmi Amla Hair Oil",90,ml,45.00,44.00,1,18.00,1.00,2,44.00
56,19,1738,"ASWIKA MAIDA FLOUR",500,gms,20.00,18.00,1,0.00,2.00,10,18.00
57,19,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",10,kg,570.00,542.00,3,5.00,28.00,5,1626.00
58,19,1734,"PATANJALI ATTA (WITH BRAN) WHEAT FLOUR",1,kg,48.00,48.00,1,5.00,0.00,0,48.00
59,19,59,"Bajaj Almond Hair Oil",100,ml,65.00,62.00,1,18.00,3.00,5,62.00
60,19,60,"Bajaj Brahmi Amla Hair Oil",90,ml,45.00,44.00,1,18.00,1.00,2,44.00
61,19,63,"DaburVatika Hibiscus Hair Oil",90,ml,39.00,37.00,1,18.00,2.00,5,37.00
62,19,64,"Dabur Almond Hair Oil",200,ml,125.00,120.00,1,18.00,5.00,4,120.00
63,19,70,"Navaratan Hair Oil",300,ml,182.00,173.00,1,18.00,9.00,5,173.00
64,19,73,"Parachute Alovera Hair Oil",150,ml,75.00,71.00,1,18.00,4.00,5,71.00
65,19,77,"Parachute Hair Oil",200,ml,80.00,76.00,1,18.00,4.00,5,76.00
66,20,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,3,5.00,2.00,3,186.00
67,20,1732,"AASHIRWAAD SELECT SHARBATI  ATTA ",1,kg,62.00,60.00,3,5.00,2.00,3,180.00
68,20,701,"Surf excel easy wash",5,kg,480.00,456.00,3,18.00,24.00,5,1368.00
69,20,706,"Surf excel matic Top Load Powder",2,kg,449.00,426.00,3,18.00,23.00,5,1278.00
70,20,1347,"Britannia Cake Gobbles Choco Chill",120,gms,30.00,28.00,1,18.00,2.00,7,28.00
71,21,1702,"Freedom Refined Sunflower Oil  Jar",5,l,810.00,720.00,1,12.00,90.00,11,720.00
72,22,1758,"Aswika Red Thoor Dal",1,kg,100.00,84.00,1,0.00,16.00,16,84.00
73,22,1760,"Aswika Thoor Dal Unpolished",1,kg,150.00,120.00,1,0.00,30.00,20,120.00
74,22,1762,"Aswika Chana Dal",1,kg,115.00,83.00,1,0.00,32.00,28,83.00
75,23,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,1,5.00,2.00,3,62.00
76,23,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",5,kg,310.00,280.00,1,5.00,30.00,10,280.00
77,23,1140,"3 ROSES Natural Care",500,gms,340.00,322.00,1,5.00,18.00,5,322.00
78,24,1758,"Aswika Red Thoor Dal",500,gms,50.00,42.00,1,0.00,8.00,16,42.00
79,24,1760,"Aswika Thoor Dal Unpolished",500,gms,75.00,60.00,1,0.00,15.00,20,60.00
80,24,1762,"Aswika Chana Dal",500,gms,55.00,42.00,1,0.00,13.00,24,42.00
81,24,1764,"Aswika Pesalu",500,gms,75.00,60.00,1,0.00,15.00,20,60.00
82,24,1766,"Aswika Urad Dal",500,gms,80.00,65.00,1,0.00,15.00,19,65.00
83,24,1555,OATS,200,gms,42.00,40.00,1,5.00,2.00,5,40.00
84,24,1186,"Amulya Dairy Whitner",200,gms,85.00,81.00,1,12.00,4.00,5,81.00
85,24,1186,"Amulya Dairy Whitner",500,gms,212.00,200.00,1,12.00,12.00,6,200.00
86,24,765,"Expert Double Action Formul",300,gms,20.00,20.00,1,18.00,0.00,0,20.00
87,24,701,"Surf excel easy wash",500,gms,62.00,60.00,1,18.00,2.00,3,60.00
88,24,1464,"Tirumala Non Fruit Vinegar",700,gms,60.00,40.00,1,18.00,20.00,33,40.00
89,24,59,"Bajaj Almond Hair Oil",50,ml,35.00,34.00,1,18.00,1.00,3,34.00
90,24,1,"Colgate strong Teeth Tooth Paste",100,gms,52.00,50.00,1,18.00,2.00,4,50.00
91,24,1140,"3 ROSES Natural Care",500,gms,340.00,322.00,1,5.00,18.00,5,322.00
92,24,1161,"Bru instant",50,gms,70.00,68.00,1,5.00,2.00,3,68.00
93,24,1173,"Maaza Bottle",600,ml,40.00,40.00,1,12.00,0.00,0,40.00
94,24,441,"Baby powder Johnson & Johnson",100,gms,75.00,72.00,1,18.00,3.00,4,72.00
95,24,1335,"Karachi Bakery Osmania Biscuits",400,gms,150.00,135.00,1,18.00,15.00,10,135.00
96,24,1915,"PARLE MELODY CHOCOLATE",195.5,gms,50.00,45.00,1,18.00,5.00,10,45.00
97,24,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,1,5.00,2.00,3,62.00
98,25,1705,"ZeebaPremium Basmati Rice",1,kg,210.00,185.00,1,5.00,25.00,12,185.00
99,25,1381,"Spencer'sGolden Crust  Milk Bread",400,gms,40.00,38.00,1,5.00,2.00,5,38.00
100,26,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,1,5.00,2.00,3,62.00
101,26,1500,"Sunfeast yippee noodles 4 in 1 pack",280,gms,78.00,75.00,1,12.00,3.00,4,75.00
102,26,1186,"Amulya Dairy Whitner",200,gms,85.00,81.00,1,12.00,4.00,5,81.00
103,26,701,"Surf excel easy wash",500,gms,62.00,60.00,1,18.00,2.00,3,60.00
104,26,1,"Colgate strong Teeth Tooth Paste",100,gms,52.00,50.00,1,18.00,2.00,4,50.00
105,27,1186,"Amulya Dairy Whitner",200,gms,85.00,81.00,2,12.00,4.00,5,162.00
106,28,766,"Citrus Plus dish bar",200,gms,10.00,9.00,1,18.00,1.00,10,9.00
107,29,1187,"Nestle EveryDay Dairy Whitner",200,gms,104.00,100.00,1,12.00,4.00,4,100.00
108,30,1,"Colgate strong Teeth Tooth Paste",200,gms,95.00,90.00,1,18.00,5.00,5,90.00
109,31,59,"Bajaj Almond Hair Oil",50,ml,35.00,34.00,1,18.00,1.00,3,34.00
110,32,684,"English Lavendar fragrant Handwash Pouch",180,ml,85.00,80.00,1,18.00,5.00,6,80.00
111,33,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,1,5.00,2.00,3,62.00
112,33,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",5,kg,310.00,280.00,1,5.00,30.00,10,280.00
113,33,1186,"Amulya Dairy Whitner",200,gms,85.00,81.00,1,12.00,4.00,5,81.00
114,33,1186,"Amulya Dairy Whitner",500,gms,212.00,200.00,1,12.00,12.00,6,200.00
115,33,1187,"Nestle EveryDay Dairy Whitner",200,gms,104.00,100.00,1,12.00,4.00,4,100.00
116,34,1140,"3 ROSES Natural Care",100,gms,65.00,63.00,3,5.00,2.00,3,189.00
117,34,1140,"3 ROSES Natural Care",250,gms,180.00,175.00,3,5.00,5.00,3,525.00
118,34,1140,"3 ROSES Natural Care",500,gms,340.00,322.00,3,5.00,18.00,5,966.00
119,34,1141,"3 ROSES Natural Care with 5 Ingredients",250,gms,190.00,185.00,5,5.00,5.00,3,925.00
120,35,1260,"Milk Bikis Cream Biscuits",120,gms,20.00,19.00,2,18.00,1.00,5,38.00
121,35,1260,"Milk Bikis Cream Biscuits",200,gms,40.00,38.00,2,18.00,2.00,5,76.00
122,35,1261,"Milk Bikis",80,gms,10.00,10.00,1,18.00,0.00,0,10.00
123,36,59,"Bajaj Almond Hair Oil",100,ml,65.00,62.00,1,18.00,3.00,5,62.00
124,37,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,1,5.00,2.00,3,62.00
125,37,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",10,kg,570.00,542.00,1,5.00,28.00,5,542.00
126,37,1,"Colgate strong Teeth Tooth Paste",200,gms,98.00,93.00,1,18.00,5.00,5,93.00
127,37,1,"Colgate strong Teeth Tooth Paste",300,gms,147.00,140.00,1,18.00,7.00,5,140.00
128,37,1500,"Sunfeast yippee noodles 4 in 1 pack",280,gms,78.00,75.00,1,12.00,3.00,4,75.00
129,37,1501,"Sunfeast yippee mood masala noodles 4 in 1 pack",280,gms,58.00,56.00,1,12.00,2.00,3,56.00
130,37,1502,"Sunfeast yippee Magic Masala noodles 6 in 1 pack",420,gms,68.00,66.00,1,12.00,2.00,3,66.00
131,37,1503,"Sunfeast yippee Magic Masala noodles 4 in 1 pack",280,gms,46.00,44.00,7,12.00,2.00,4,308.00
132,38,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,1,5.00,2.00,3,62.00
133,38,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",5,kg,310.00,280.00,5,5.00,30.00,10,1400.00
134,38,1260,"Milk Bikis Cream Biscuits",120,gms,20.00,19.00,1,18.00,1.00,5,19.00
135,38,1260,"Milk Bikis Cream Biscuits",200,gms,40.00,38.00,1,18.00,2.00,5,38.00
136,38,1186,"Amulya Dairy Whitner",200,gms,85.00,81.00,1,12.00,4.00,5,81.00
137,38,1186,"Amulya Dairy Whitner",500,gms,212.00,200.00,1,12.00,12.00,6,200.00
138,38,1187,"Nestle EveryDay Dairy Whitner",200,gms,104.00,100.00,1,12.00,4.00,4,100.00
139,38,701,"Surf excel easy wash",1,kg,124.00,120.00,1,18.00,4.00,3,120.00
140,38,701,"Surf excel easy wash",2,kg,177.00,170.00,1,18.00,7.00,4,170.00
141,38,1,"Colgate strong Teeth Tooth Paste",100,gms,52.00,50.00,1,18.00,2.00,4,50.00
142,38,1,"Colgate strong Teeth Tooth Paste",200,gms,98.00,93.00,1,18.00,5.00,5,93.00
143,39,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,4,5.00,2.00,3,248.00
144,40,1140,"3 ROSES Natural Care",100,gms,65.00,63.00,1,5.00,2.00,3,63.00
145,40,766,"Citrus Plus dish bar",200,gms,10.00,9.00,1,18.00,1.00,10,9.00
146,40,1500,"Sunfeast yippee noodles 4 in 1 pack",280,gms,78.00,75.00,1,12.00,3.00,4,75.00
147,40,1502,"Sunfeast yippee Magic Masala noodles 6 in 1 pack",420,gms,68.00,66.00,1,12.00,2.00,3,66.00
148,40,1186,"Amulya Dairy Whitner",200,gms,85.00,81.00,1,12.00,4.00,5,81.00
149,41,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,1,5.00,2.00,3,62.00
150,41,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",10,kg,570.00,542.00,1,5.00,28.00,5,542.00
151,41,1,"Colgate strong Teeth Tooth Paste",300,gms,147.00,140.00,1,18.00,7.00,5,140.00
152,41,1500,"Sunfeast yippee noodles 4 in 1 pack",280,gms,78.00,75.00,1,12.00,3.00,4,75.00
153,41,1502,"Sunfeast yippee Magic Masala noodles 6 in 1 pack",420,gms,68.00,66.00,1,12.00,2.00,3,66.00
154,41,1501,"Sunfeast yippee mood masala noodles 4 in 1 pack",280,gms,58.00,56.00,1,12.00,2.00,3,56.00
155,41,1503,"Sunfeast yippee Magic Masala noodles 4 in 1 pack",280,gms,46.00,44.00,1,12.00,2.00,4,44.00
156,41,1,"Colgate strong Teeth Tooth Paste",200,gms,98.00,93.00,1,18.00,5.00,5,93.00
157,42,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,1,5.00,2.00,3,62.00
158,42,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",10,kg,570.00,542.00,1,5.00,28.00,5,542.00
159,42,1,"Colgate strong Teeth Tooth Paste",200,gms,98.00,93.00,1,18.00,5.00,5,93.00
160,42,1,"Colgate strong Teeth Tooth Paste",300,gms,147.00,140.00,1,18.00,7.00,5,140.00
161,42,1500,"Sunfeast yippee noodles 4 in 1 pack",280,gms,78.00,75.00,1,12.00,3.00,4,75.00
162,42,1501,"Sunfeast yippee mood masala noodles 4 in 1 pack",280,gms,58.00,56.00,1,12.00,2.00,3,56.00
163,42,1502,"Sunfeast yippee Magic Masala noodles 6 in 1 pack",420,gms,68.00,66.00,1,12.00,2.00,3,66.00
164,42,1503,"Sunfeast yippee Magic Masala noodles 4 in 1 pack",280,gms,46.00,44.00,1,12.00,2.00,4,44.00
165,43,1731,"AASHIRWAAD SUPERIOR MP ATTA ",2,kg,109.00,100.00,2,5.00,9.00,8,200.00
166,43,1731,"AASHIRWAAD SUPERIOR MP ATTA ",5,kg,270.00,230.00,1,5.00,40.00,15,230.00
167,43,1731,"AASHIRWAAD SUPERIOR MP ATTA ",10,kg,490.00,415.00,1,5.00,75.00,15,415.00
168,43,1732,"AASHIRWAAD SELECT SHARBATI  ATTA ",5,kg,300.00,270.00,1,5.00,30.00,10,270.00
169,44,1745,"SVR Gold Idly Ravva",1,kg,50.00,35.00,3,0.00,15.00,30,105.00
170,44,1741,"VENKATESHWARA RAAGI FLOUR",500,gms,40.00,28.00,4,0.00,12.00,30,112.00
171,44,1740,"VENKATESHWARA CORN FLOOR",500,gms,40.00,28.00,3,0.00,12.00,30,84.00
172,44,59,"Bajaj Almond Hair Oil",200,ml,125.00,119.00,1,18.00,6.00,5,119.00
173,45,440,"Baby powder Himalaya",200,gms,130.00,120.00,2,18.00,10.00,8,240.00
174,45,440,"Baby powder Himalaya",400,gms,200.00,180.00,1,18.00,20.00,10,180.00
175,45,441,"Baby powder Johnson & Johnson",100,gms,75.00,72.00,1,18.00,3.00,4,72.00
176,45,441,"Baby powder Johnson & Johnson",200,gms,135.00,128.00,1,18.00,7.00,5,128.00
177,46,701,"Surf excel easy wash",500,gms,62.00,60.00,1,18.00,2.00,3,60.00
178,46,440,"Baby powder Himalaya",200,gms,130.00,120.00,2,18.00,10.00,8,240.00
179,47,701,"Surf excel easy wash",500,gms,62.00,60.00,1,18.00,2.00,3,60.00
180,47,440,"Baby powder Himalaya",200,gms,130.00,120.00,2,18.00,10.00,8,240.00
181,48,1140,"3 ROSES Natural Care",100,gms,65.00,63.00,1,5.00,2.00,3,63.00
182,48,1140,"3 ROSES Natural Care",250,gms,180.00,175.00,1,5.00,5.00,3,175.00
183,48,1140,"3 ROSES Natural Care",500,gms,340.00,322.00,1,5.00,18.00,5,322.00
184,48,1141,"3 ROSES Natural Care with 5 Ingredients",100,gms,80.00,77.00,1,5.00,3.00,4,77.00
185,48,1143,"Red Label TEA",100,gms,45.00,43.00,1,5.00,2.00,4,43.00
186,49,440,"Baby powder Himalaya",200,gms,130.00,120.00,1,18.00,10.00,8,120.00
187,49,440,"Baby powder Himalaya",400,gms,200.00,180.00,1,18.00,20.00,10,180.00
188,49,442,"Baby powder Blossoms",200,gms,145.00,138.00,1,18.00,7.00,5,138.00
189,49,443,"Baby hair oil",200,ml,220.00,210.00,1,18.00,10.00,5,210.00
190,49,443,"Baby hair oil",100,ml,100.00,90.00,1,18.00,10.00,10,90.00
191,49,445,"Baby oil With Viamin E",50,ml,110.00,105.00,1,18.00,5.00,5,105.00
192,49,445,"Baby oil With Viamin E",200,ml,195.00,180.00,1,18.00,15.00,8,180.00
193,49,446,"Baby Hair Oil  Johnson & Johnson",60,ml,55.00,53.00,1,18.00,2.00,4,53.00
194,49,447,"Baby Massage Oil of Dabur",200,ml,175.00,166.00,1,18.00,9.00,5,166.00
195,50,701,"Surf excel easy wash",500,gms,62.00,60.00,1,18.00,2.00,3,60.00
196,50,701,"Surf excel easy wash",1,kg,124.00,120.00,1,18.00,4.00,3,120.00
197,50,701,"Surf excel easy wash",2,kg,177.00,170.00,1,18.00,7.00,4,170.00
198,50,701,"Surf excel easy wash",5,kg,480.00,456.00,1,18.00,24.00,5,456.00
199,51,1366,"Haldiram Cornflakes Mixture Snacks",150,gms,55.00,51.00,1,18.00,4.00,7,51.00
200,52,1170,Sprite,250,ml,20.00,19.00,1,12.00,1.00,5,19.00
201,52,1170,Sprite,2.25,l,90.00,90.00,1,12.00,0.00,0,90.00
202,52,1171,Thumsup,2.25,l,95.00,95.00,1,12.00,0.00,0,95.00
203,52,1172,"Coco Cola",250,ml,20.00,18.00,1,12.00,2.00,10,18.00
204,53,1170,Sprite,250,ml,20.00,19.00,1,12.00,1.00,5,19.00
205,53,1170,Sprite,2.25,l,90.00,90.00,1,12.00,0.00,0,90.00
206,53,1171,Thumsup,2.25,l,95.00,95.00,1,12.00,0.00,0,95.00
207,53,1172,"Coco Cola",250,ml,20.00,18.00,1,12.00,2.00,10,18.00
208,54,1681,"Ruchi Gold Pamolein Oil",1,l,138.00,115.00,1,12.00,23.00,17,115.00
209,54,1682,"Freedom Sunflower Oil",1,l,195.00,165.00,1,12.00,30.00,15,165.00
210,55,1681,"Ruchi Gold Pamolein Oil",1,l,138.00,115.00,1,12.00,23.00,17,115.00
211,55,1682,"Freedom Sunflower Oil",1,l,195.00,165.00,1,12.00,30.00,15,165.00
212,56,1681,"Ruchi Gold Pamolein Oil",1,l,138.00,115.00,1,12.00,23.00,17,115.00
213,56,1682,"Freedom Sunflower Oil",1,l,195.00,165.00,1,12.00,30.00,15,165.00
214,57,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,2,5.00,2.00,3,124.00
215,57,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",5,kg,310.00,280.00,1,5.00,30.00,10,280.00
216,57,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",10,kg,570.00,542.00,1,5.00,28.00,5,542.00
217,57,1555,OATS,200,gms,42.00,40.00,1,5.00,2.00,5,40.00
218,57,1555,OATS,400,gms,77.00,73.00,1,5.00,4.00,5,73.00
219,57,1555,OATS,600,gms,114.00,108.00,1,5.00,6.00,5,108.00
220,57,1556,"Lion Australina OATS",200,gms,44.00,41.00,1,5.00,3.00,7,41.00
221,57,1186,"Amulya Dairy Whitner",200,gms,85.00,81.00,1,12.00,4.00,5,81.00
222,57,1187,"Nestle EveryDay Dairy Whitner",200,gms,104.00,100.00,1,12.00,4.00,4,100.00
223,57,1187,"Nestle EveryDay Dairy Whitner",400,gms,200.00,190.00,1,12.00,10.00,5,190.00
224,57,701,"Surf excel easy wash",500,gms,62.00,60.00,1,18.00,2.00,3,60.00
225,57,701,"Surf excel easy wash",1,kg,124.00,120.00,1,18.00,4.00,3,120.00
226,57,701,"Surf excel easy wash",2,kg,177.00,170.00,1,18.00,7.00,4,170.00
233,59,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,1,5.00,2.00,3,62.00
234,59,1260,"Milk Bikis Cream Biscuits",120,gms,20.00,19.00,1,18.00,1.00,5,19.00
235,59,1186,"Amulya Dairy Whitner",200,gms,85.00,81.00,1,12.00,4.00,5,81.00
236,60,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,1,5.00,2.00,3,62.00
237,69,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,7,5.00,2.00,3,434.00
238,69,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",5,kg,310.00,280.00,4,5.00,30.00,10,1120.00
239,69,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",10,kg,570.00,542.00,1,5.00,28.00,5,542.00
240,69,1731,"AASHIRWAAD SUPERIOR MP ATTA ",1,kg,57.00,50.00,1,5.00,7.00,12,50.00
241,69,1731,"AASHIRWAAD SUPERIOR MP ATTA ",2,kg,109.00,100.00,1,5.00,9.00,8,100.00
242,69,1731,"AASHIRWAAD SUPERIOR MP ATTA ",5,kg,270.00,230.00,1,5.00,40.00,15,230.00
243,69,1731,"AASHIRWAAD SUPERIOR MP ATTA ",10,kg,490.00,415.00,1,5.00,75.00,15,415.00
244,69,1732,"AASHIRWAAD SELECT SHARBATI  ATTA ",1,kg,62.00,60.00,1,5.00,2.00,3,60.00
245,69,1732,"AASHIRWAAD SELECT SHARBATI  ATTA ",5,kg,300.00,270.00,1,5.00,30.00,10,270.00
246,69,1733,"ANNAPURNA  FARM FRESH ATTA",1,kg,55.00,50.00,1,5.00,5.00,9,50.00
247,69,1733,"ANNAPURNA  FARM FRESH ATTA",5,kg,270.00,230.00,1,5.00,40.00,15,230.00
248,69,1734,"PATANJALI ATTA (WITH BRAN) WHEAT FLOUR",1,kg,48.00,48.00,1,5.00,0.00,0,48.00
249,70,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,1,5.00,2.00,3,62.00
250,71,1260,"Milk Bikis Cream Biscuits",200,gms,40.00,38.00,1,18.00,2.00,5,38.00
251,74,440,"Baby powder Himalaya",200,gms,130.00,120.00,1,18.00,10.00,8,120.00
252,74,701,"Surf excel easy wash",500,gms,62.00,60.00,1,18.00,2.00,3,60.00
253,75,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,7,5.00,2.00,3,434.00
254,76,1,"Colgate strong Teeth Tooth Paste",100,gms,52.00,50.00,1,18.00,2.00,4,50.00
255,76,1173,"Maaza Bottle",150,ml,10.00,10.00,1,12.00,0.00,0,10.00
256,77,1758,"Aswika Masoor Thoor Dal",500,gms,50.00,42.00,1,0.00,8.00,16,42.00
257,78,1758,"Aswika Masoor Thoor Dal",500,gms,50.00,42.00,1,0.00,8.00,16,42.00
258,79,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",5,kg,310.00,280.00,1,5.00,30.00,10,280.00
259,80,1617,"Bingo Potato Chips Chilli Sprinkled",24.5,gms,10.00,10.00,2,1.00,0.00,0,20.00
260,81,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,1,5.00,2.00,3,62.00
261,81,1914,"Alpenliebe Gold Chocolates Packet",185,gms,50.00,45.00,1,18.00,5.00,10,45.00
262,81,1186,"Amulya Dairy Whitner",200,gms,85.00,81.00,1,12.00,4.00,5,81.00
263,81,1205,"Amul Tru Orange",180,ml,10.00,10.00,1,12.00,0.00,0,10.00
264,82,1730,"AASHIRWAAD ATTA WITH MULTIGRAINS",1,kg,64.00,62.00,2,5.00,2.00,3,124.00
